trait_type	phenocode	description	pheno_sex	n_cases_full_cohort_both_sexes
categorical	20002	Non-cancer illness code, self-reported	both_sexes	263
categorical	20002	Non-cancer illness code, self-reported	both_sexes	244
categorical	20002	Non-cancer illness code, self-reported	both_sexes	260
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1678
categorical	20002	Non-cancer illness code, self-reported	both_sexes	499
categorical	20002	Non-cancer illness code, self-reported	both_sexes	432
categorical	20002	Non-cancer illness code, self-reported	both_sexes	251
categorical	20002	Non-cancer illness code, self-reported	both_sexes	153
categorical	20002	Non-cancer illness code, self-reported	both_sexes	277
categorical	20002	Non-cancer illness code, self-reported	both_sexes	253
categorical	20002	Non-cancer illness code, self-reported	both_sexes	671
categorical	20002	Non-cancer illness code, self-reported	both_sexes	120
categorical	20002	Non-cancer illness code, self-reported	both_sexes	224
categorical	20002	Non-cancer illness code, self-reported	both_sexes	500
categorical	20002	Non-cancer illness code, self-reported	both_sexes	128
categorical	20002	Non-cancer illness code, self-reported	both_sexes	17501
categorical	20003	Treatment/medication code	both_sexes	174
categorical	20003	Treatment/medication code	both_sexes	1000
categorical	20003	Treatment/medication code	both_sexes	141
categorical	20003	Treatment/medication code	both_sexes	1817
categorical	20003	Treatment/medication code	both_sexes	13460
categorical	20003	Treatment/medication code	both_sexes	327
categorical	20003	Treatment/medication code	both_sexes	180
categorical	20003	Treatment/medication code	both_sexes	12270
categorical	20003	Treatment/medication code	both_sexes	177
categorical	20003	Treatment/medication code	both_sexes	178
categorical	20003	Treatment/medication code	both_sexes	113
categorical	20003	Treatment/medication code	both_sexes	136
