pgs_id	name	trait	n_variants	ftp_scoring_file
PGS002142	portability-ldpred2_haemoglobin	Haemoglobin concentration	786386	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002142/ScoringFiles/PGS002142.txt.gz
PGS002143	portability-ldpred2_hand_grip_strength	Hand grip strength (mean of both)	966283	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002143/ScoringFiles/PGS002143.txt.gz
PGS002144	portability-ldpred2_hard_falling_asleep	Trouble falling asleep	539784	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002144/ScoringFiles/PGS002144.txt.gz
PGS002145	portability-ldpred2_headaches_for_3m	Headaches for 3+ months	720580	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002145/ScoringFiles/PGS002145.txt.gz
PGS002146	portability-ldpred2_height	Standing height	922538	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002146/ScoringFiles/PGS002146.txt.gz
PGS002147	portability-ldpred2_immature_reticulocyte_frac	Immature reticulocyte fraction	664696	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002147/ScoringFiles/PGS002147.txt.gz
PGS002148	portability-ldpred2_income	Average total household income before tax	932197	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002148/ScoringFiles/PGS002148.txt.gz
PGS002149	portability-ldpred2_insomnia	Sleeplessness / insomnia	926585	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002149/ScoringFiles/PGS002149.txt.gz
PGS002150	portability-ldpred2_LDL	LDL direct	360007	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002150/ScoringFiles/PGS002150.txt.gz
PGS002151	portability-ldpred2_left_handed	Handedness (chirality/laterality)	734236	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002151/ScoringFiles/PGS002151.txt.gz
PGS002152	portability-ldpred2_less_alcohol	Alcohol intake frequency	946965	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002152/ScoringFiles/PGS002152.txt.gz
PGS002153	portability-ldpred2_less_happy_with_health	General happiness with own health	824602	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002153/ScoringFiles/PGS002153.txt.gz
PGS002154	portability-ldpred2_less_happy	General happiness	806011	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002154/ScoringFiles/PGS002154.txt.gz
PGS002155	portability-ldpred2_less_tanned	Ease of skin tanning	240701	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002155/ScoringFiles/PGS002155.txt.gz
